duke,R.J. Barrett,5,FR,F,6-7,202,Mississauga, Canada,Monteverde Academy,1 (2018), 22.6 Pts, 7.6 Reb, 4.3 Ast,
duke,Zion Williamson,1,FR,F,6-7,285,Spartanburg, SC,Spartanburg Day School,4 (2018), 22.6 Pts, 8.9 Reb, 2.1 Ast,
duke,Cam Reddish,2,FR,F,6-8,218,Norristown, PA,Westtown School,2 (2018), 13.5 Pts, 3.7 Reb, 1.9 Ast,
duke,Tre Jones,3,FR,G,6-2,183,Apple Valley, MN,Apple Valley HS,13 (2018), 9.4 Pts, 3.8 Reb, 5.3 Ast,
duke,Marques Bolden,20,JR,C,6-11,250,DeSoto, TX,DeSoto High School,11 (2016), 5.3 Pts, 4.5 Reb, 0.5 Ast,
duke,Alex O'Connell,15,SO,G,6-6,183,Roswell, GA,Milton High School,69 (2017), 4.4 Pts, 1.9 Reb, 0.6 Ast,
duke,Javin DeLaurier,12,JR,F,6-10,234,Shipman, VA,St. Anne's-Belfield School,35 (2016), 3.8 Pts, 4.4 Reb, 0.4 Ast,
duke,Jack White,41,JR,F,6-7,222,Traralgon, Australia,Australian Institute of Sport,, 4.1 Pts, 4.7 Reb, 0.7 Ast,
duke,Jordan Goldwire,14,SO,G,6-2,181,Norcross, GA,Norcross High School,, 0.9 Pts, 0.8 Reb, 0.7 Ast,
duke,Antonio Vrankovic,30,SR,C,7-0,269,Zagreb, Croatia,Pine Crest HS,, 1.4 Pts, 1.3 Reb, 0.4 Ast,
duke,Justin Robinson,50,JR,F,6-10,202,San Antonio, TX,San Antonio Christian School High School,, 1.2 Pts, 0.5 Reb, 0.1 Ast,
duke,Brennan Besser,53,SR,G,6-5,190,Chicago, IL,Latin School,, 1.0 Pts, 0.8 Reb, 0.3 Ast,
duke,Joey Baker,13,FR,F,6-7,200,Fayetteville, NC,Trinity Christian School,37 (2018), 0.8 Pts, 1.0 Reb, 0.0 Ast,
duke,Mike Buckmire,51,SO,G,6-2,173,Blue Bell, PA,Germantown Friends School,, 0.0 Pts, 1.0 Reb, 0.3 Ast,
virginia,Kyle Guy,5,JR,G,6-2,175,Indianapolis, IN,Lawrence Central High School,32 (2016), 15.4 Pts, 4.5 Reb, 2.1 Ast,
virginia,De'Andre Hunter,12,SO,G,6-7,225,Philadelphia, PA,Friends' Central School,74 (2016), 15.2 Pts, 5.1 Reb, 2.0 Ast,
virginia,Ty Jerome,11,JR,G,6-5,195,New Rochelle, NY,Iona Preparatory School,46 (2016), 13.6 Pts, 4.2 Reb, 5.5 Ast,
virginia,Mamadi Diakite,25,JR,F,6-9,228,Conakry, Guinea,Blue Ridge High School,, 7.4 Pts, 4.4 Reb, 0.3 Ast,
virginia,Braxton Key,2,JR,G,6-8,225,Charlotte, NC,Oak Hill Academy,56 (2016), 5.7 Pts, 5.3 Reb, 1.0 Ast,
virginia,Kihei Clark,0,FR,G,5-9,155,Woodland Hills, CA,Taft Charter HS,, 4.5 Pts, 2.3 Reb, 2.6 Ast,
virginia,Jay Huff,30,SO,F,7-1,232,Durham, NC,Voyager Academy,61 (2016), 4.4 Pts, 2.1 Reb, 0.2 Ast,
virginia,Jack Salt,33,SR,C,6-10,250,Auckland, New Zealand,Westlake HS,, 3.7 Pts, 3.7 Reb, 0.4 Ast,
virginia,Kody Stattmann,23,FR,G,6-7,187,Bentley Park, Australia,,, 1.7 Pts, 0.6 Reb, 0.1 Ast,
virginia,Marco Anthony,24,SO,G,6-4,212,San Antonio, TX,Oliver Wendell Holmes High School,, 1.2 Pts, 0.5 Reb, 0.5 Ast,
virginia,Grant Kersey,1,FR,G,,,Charlottesville, VA,,, 1.3 Pts, 0.2 Reb, 0.1 Ast,
virginia,Austin Katstra,45,SO,F,6-6,217,Charlottesville, VA,Albemarle High School,, 0.9 Pts, 0.5 Reb, 0.3 Ast,
virginia,Jayden Nixon,10,FR,G,6-3,189,Charlottesville, VA,Choate Rosemary Hall HS,, 0.6 Pts, 0.6 Reb, 0.1 Ast,
virginia,Francesco Badocchi,1,FR,F,6-7,205,Milan, Italy,,, 0.5 Pts, 0.5 Reb, 0.0 Ast,
virginia,Francisco Caffaro,22,FR,C,7-0,233,El Trebo, Argentina,NBA Global Academy,,,
north-carolina,Cameron Johnson,13,SR,G,6-9,210,Moon Township, PA,Our Lady of the Sacred Heart HS,, 16.9 Pts, 5.8 Reb, 2.4 Ast,
north-carolina,Coby White,2,FR,G,6-5,185,Goldsboro, NC,Greenfield School,27 (2018), 16.1 Pts, 3.5 Reb, 4.1 Ast,
north-carolina,Luke Maye,32,SR,F,6-8,240,Huntersville, NC,Hough HS,, 14.9 Pts, 10.5 Reb, 2.3 Ast,
north-carolina,Nassir Little,5,FR,F,6-6,220,Orange Park, FL,Orlando Christian Prep,3 (2018), 9.8 Pts, 4.6 Reb, 0.7 Ast,
north-carolina,Kenny Williams,24,SR,G,6-4,185,Midlothian, VA,Bird HS,90 (2015), 8.6 Pts, 3.9 Reb, 3.5 Ast,
north-carolina,Garrison Brooks,15,SO,F,6-9,230,Lafayette, AL,Auburn HS,, 7.9 Pts, 5.6 Reb, 1.3 Ast,
north-carolina,Brandon Robinson,4,JR,G,6-4,170,Douglasville, GA,Douglas County High School,65 (2016), 3.4 Pts, 1.6 Reb, 1.4 Ast,
north-carolina,Seventh Woods,0,JR,G,6-2,185,Columbia, SC,Hammond School,40 (2016), 2.5 Pts, 1.0 Reb, 2.1 Ast,
north-carolina,Sterling Manley,21,SO,F,6-11,235,Pickerington, OH,Pickerington Central,, 3.5 Pts, 2.9 Reb, 0.2 Ast,
north-carolina,Rechon Black,1,FR,G,6-7,185,Concord, NC,Cox Mill HS,64 (2018), 2.5 Pts, 2.1 Reb, 1.2 Ast,
north-carolina,Andrew Platek,3,SO,G,6-3,200,Guilderland, NY,Northfield Mount Hermon School,, 1.1 Pts, 0.3 Reb, 0.2 Ast,
north-carolina,Brandon Huffman,42,SO,F,6-10,250,Goldsboro, NC,Word of God Christian Academy,, 1.1 Pts, 0.9 Reb, 0.1 Ast,
north-carolina,K.J. Smith,30,SO,G,6-2,175,Calabasas, CA,IMG Academy,, 1.0 Pts, 0.1 Reb, 0.3 Ast,
north-carolina,Walker Miller,22,SO,F,6-10,230,Greensboro, NC,New Hampton School,, 0.8 Pts, 0.4 Reb, 0.1 Ast,
north-carolina,Caleb Ellis,25,JR,G,6-4,185,Apex, NC,Cary Christian School,, 0.5 Pts, 0.1 Reb, 0.1 Ast,
north-carolina,Shea Rush,11,JR,F,6-5,210,Fairway, KS,The Barstow School,, 0.1 Pts, 0.3 Reb, 0.1 Ast,
north-carolina,Ryan McAdoo,35,SO,F,6-5,201,Boca Raton, FL,Saint Andrew's School,,,
gonzaga,Rui Hachimura,21,JR,F,6-8,230,Toyama, Japan,Meisei HIgh School,, 19.7 Pts, 6.5 Reb, 1.5 Ast,
gonzaga,Brandon Clarke,15,JR,F,6-8,215,Phoenix, AZ,Desert Vista HS,, 16.9 Pts, 8.6 Reb, 1.9 Ast,
gonzaga,Zach Norvell Jr.,23,SO,G,6-5,205,Chicago, IL,Simeon Career Academy,, 14.9 Pts, 4.3 Reb, 3.1 Ast,
gonzaga,Josh Perkins,13,SR,G,6-3,190,Park Hill, CO,Huntington Prep HS,60 (2014), 11.0 Pts, 2.7 Reb, 6.3 Ast,
gonzaga,Corey Kispert,24,SO,F,6-6,215,Edmonds, WA,King's Way Christian School,, 8.0 Pts, 4.1 Reb, 1.0 Ast,
gonzaga,Filip Petrusev,3,FR,F,6-11,225,Belgrade, Serbia,Montverde Academy,81 (2018), 6.5 Pts, 2.7 Reb, 0.3 Ast,
gonzaga,Geno Crandall,0,SR,G,6-3,175,Minneapolis, MN,DeLaSalle HS,, 5.0 Pts, 1.9 Reb, 2.2 Ast,
gonzaga,Jeremy Jones,22,SR,F,6-7,213,San Antonio, TX,East Central,, 3.1 Pts, 3.2 Reb, 0.9 Ast,
gonzaga,Killian Tillie,33,JR,F,6-10,220,Cagnes-sur-Mer, France,INSEP Academy,, 6.2 Pts, 3.9 Reb, 1.5 Ast,
gonzaga,Joel Ayayi,11,FR,G,6-5,180,Paris, France,,, 1.7 Pts, 1.4 Reb, 0.5 Ast,
gonzaga,Greg Foster Jr,4,FR,G,6-5,195,Milwaukee, WI,Ed W. Clark HS,, 0.7 Pts, 0.4 Reb, 0.4 Ast,
gonzaga,Jack Beach,2,JR,G,6-3,180,San Diego, CA,Torrey Pines HS,, 0.7 Pts, 0.3 Reb, 0.1 Ast,
gonzaga,Matthew Lang,10,FR,G,6-3,185,Portland, OR,Jesuit HS,, 0.7 Pts, 0.4 Reb, 0.0 Ast,
gonzaga,Alex Martin,5,JR,G,6-5,205,Overland Park, KS,Blue Valley High School,, 0.0 Pts, 0.0 Reb, 0.0 Ast,
gonzaga,Paul Pennington,20,FR,G,5-10,160,Boise, ID,Boise HS,,,
tennessee,Grant Williams,2,JR,F,6-7,236,Charlotte, NC,Providence Day School, 18.8 Pts, 7.5 Reb, 3.2 Ast,
tennessee,Admiral Schofield,5,SR,G,6-6,241,Zion, IL,Zion-Benton TownshiP HS, 16.5 Pts, 6.1 Reb, 2.0 Ast,
tennessee,Jordan Bone,0,JR,G,6-3,180,Nashville, TN,The Ensworth School, 13.5 Pts, 3.2 Reb, 5.8 Ast,
tennessee,Jordan Bowden,23,JR,G,6-5,193,Knoxville, TN,22f Basketball Academy, 10.6 Pts, 3.5 Reb, 1.9 Ast,
tennessee,Lamonte Turner,1,JR,G,6-2,195,Florence, AL,Arlington Country Day School, 10.9 Pts, 2.7 Reb, 3.8 Ast,
tennessee,Kyle Alexander,11,SR,F,6-11,215,Milton, Canada,ACTS Athlete Institute, 7.4 Pts, 6.7 Reb, 0.5 Ast,
tennessee,John Fulkerson,10,SO,F,6-9,197,Kingsport, TN,Briarcrest Christian School, 3.1 Pts, 2.6 Reb, 0.7 Ast,
tennessee,Yves Pons,35,SO,G,6-6,209,Fuveau, France,INSEP Academy, 2.2 Pts, 1.8 Reb, 0.5 Ast,
tennessee,Jalen Johnson,13,SO,G,6-6,187,Durham, NC,Wesleyan Christian Academy, 1.5 Pts, 0.7 Reb, 0.3 Ast,
tennessee,Derrick Walker,15,SO,F,6-8,236,Kansas City, MO,Raytown Senior High School, 0.8 Pts, 1.1 Reb, 0.2 Ast,
tennessee,Brad Woodson,12,SR,G,6-1,177,Murfreesboro, TN,Riverdale HS, 1.6 Pts, 0.2 Reb, 0.4 Ast,
tennessee,Lucas Campbell,24,SR,G,6-4,185,Knoxville, TN,Christian Academy of Knoxville, 0.7 Pts, 0.4 Reb, 0.1 Ast,
tennessee,Jacob Fleschman,4,SO,G,6-3,170,Austin, TX,Westlake High School, 0.6 Pts, 0.2 Reb, 0.2 Ast,
tennessee,Brock Jancek,34,FR,F,6-8,212,Knoxville, TN,Knoxville Catholic HS, 0.0 Pts, 0.3 Reb, 0.0 Ast,
tennessee,D.J. Burns,32,FR,F,6-9,272,Rock Hill, SC,York Preparatory Academy,,
tennessee,Zach Kent,33,SO,F,6-11,225,Magnolia, DE,Blair Academy,,
michigan-state,Cassius Winston,5,JR,G,6-1,185,Detroit, MI,University of Detroit Jesuit High School and Academy,29 (2016), 18.8 Pts, 3.0 Reb, 7.5 Ast,
michigan-state,Nick Ward,44,JR,F,6-9,245,Gahanna, OH,Lincoln High School,44 (2016), 12.9 Pts, 6.1 Reb, 0.7 Ast,
michigan-state,Xavier Tillman,23,SO,F,6-8,245,Grand Rapids, MI,Grand Rapids Christian High School,83 (2017), 10.0 Pts, 7.3 Reb, 1.6 Ast,
michigan-state,Matt McQuaid,20,SR,G,6-5,200,Duncanville, TX,Duncanville HS,67 (2015), 9.8 Pts, 3.0 Reb, 2.1 Ast,
michigan-state,Kenny Goins,25,SR,F,6-7,230,Troy, MI,Warren Mott HS,, 7.9 Pts, 8.9 Reb, 2.3 Ast,
michigan-state,Aaron Henry,11,FR,F,6-6,210,Indianapolis, IN,Ben Davis HS,, 6.1 Pts, 3.8 Reb, 1.6 Ast,
michigan-state,Joshua Langford,1,JR,G,6-5,210,Huntsville, AL,Madison Academy,20 (2016), 15.0 Pts, 3.6 Reb, 2.3 Ast,
michigan-state,Kyle Ahrens,0,JR,G,6-6,210,Versailles, OH,Versailles HS,, 4.7 Pts, 2.5 Reb, 1.0 Ast,
michigan-state,Gabe Brown,13,FR,F,6-7,210,Ypsilanti, MI,Belleville HS,100 (2018), 2.3 Pts, 1.2 Reb, 0.1 Ast,
michigan-state,Foster Loyer,3,FR,G,6-0,170,Clarkston, MI,Clarkston HS,77 (2018), 1.6 Pts, 0.4 Reb, 0.9 Ast,
michigan-state,Thomas Kithier,15,FR,F,6-8,225,Clarkston, MI,Clarkston HS,, 1.6 Pts, 1.3 Reb, 0.2 Ast,
michigan-state,Marcus Bingham,30,FR,F,6-11,215,Grand Rapids, MI,Catholic Central HS,62 (2018), 1.0 Pts, 1.1 Reb, 0.3 Ast,
michigan-state,Conner George,41,JR,G,6-4,200,Okemos, MI,Okemos High School,, 0.6 Pts, 0.5 Reb, 0.1 Ast,
michigan-state,Jack Hoiberg,10,FR,G,5-11,175,Burr Ridge, IL,Hinsdale Central HS,, 0.7 Pts, 0.1 Reb, 0.2 Ast,
michigan-state,Braden Burke,40,SO,F,6-11,235,Stevensville, MI,Lakeshore High School,, 0.6 Pts, 0.3 Reb, 0.0 Ast,
michigan-state,Brock Washington,14,FR,G,6-4,185,Southfield, MI,Southfield Christian HS,, 0.4 Pts, 0.3 Reb, 0.0 Ast,
kentucky,PJ Washington,25,SO,F,6-8,228,Dallas, TX,Findlay College Prep,14 (2017), 15.2 Pts, 7.5 Reb, 1.8 Ast,
kentucky,Tyler Herro,14,FR,G,6-5,195,Milwaukee, WI,Whitnall HS,35 (2018), 14.0 Pts, 4.5 Reb, 2.5 Ast,
kentucky,Keldon Johnson,3,FR,G,6-6,211,South Hill, VA,Oak Hill Academy,12 (2018), 13.5 Pts, 5.9 Reb, 1.6 Ast,
kentucky,Reid Travis,22,SR,F,6-8,238,Minneapolis, MN,DeLaSalle HS,35 (2014), 11.2 Pts, 7.2 Reb, 0.9 Ast,
kentucky,Ashton Hagans,2,FR,G,6-3,192,Cartersville, GA,Newton HS,14 (2018), 7.7 Pts, 2.6 Reb, 4.3 Ast,
kentucky,Immanuel Quickley,5,FR,G,6-3,185,Havre De Grace, MD,The John Carroll School,23 (2018), 5.2 Pts, 1.8 Reb, 1.2 Ast,
